85,131,993,392,689,858,935,554,301,824,466,774,473,753,136,80,497,96,33,386,827,175
571,542,226,166,818,188,559,189,958,563,435,35,717,452,272,105,778,844,44,411,362,100
620,908,181,53,477,321,711,800,310,163,437,329,420,500,611,309,789,828,841,561,720,13
598,529,657,986,67,352,55,378,69,546,581,159,230,46,339,579,976,457,345,638,363,560
944,201,256,22,4,391,127,517,896,953,862,38,466,217,440,205,606,266,835,385,852,696
97,468,821,298,591,789,49,395,216,750,403,406,472,835,498,525,195,504,261,847,254,110
801,545,279,386,240,462,193,356,988,632,183,43,425,339,573,878,119,335,281,273,290,542
14,486,136,670,629,353,395,719,119,241,561,484,43,474,32,553,79,475,861,702,64,575
826,305,667,261,269,650,1,728,41,416,929,758,368,684,220,723,271,877,71,623,26,385
458,612,978,731,928,866,979,188,992,701,913,299,325,929,876,244,608,647,177,274,476,538
444,865,797,203,761,507,858,322,797,806,454,103,922,947,535,959,174,96,719,968,908,211
352,320,853,568,225,860,31,396,33,679,498,452,763,72,761,677,378,496,863,351,291,481
211,378,681,62,507,998,169,1000,914,737,307,555,143,257,979,682,712,308,648,342,55,30
396,357,480,672,866,856,198,149,139,265,522,734,366,939,628,213,411,177,90,193,882,930
779,129,176,620,165,652,174,164,301,824,466,774,473,753,136,80,497,96,33,386,827,175
798,35,305,558,2,718,329,483,112,793,338,732,908,725,497,96,416,680,518,11,838,676
271,369,330,644,890,312,131,145,402,412,339,618,59,813,142,120,973,919,268,778,906,357
559,935,791,111,493,757,236,112,159,720,853,642,519,285,66,971,758,577,573,514,17,836
680,635,163,599,227,632,275,375,777,337,133,152,370,838,661,305,85,933,784,172,728,123
788,462,537,144,598,947,61,409,31,503,417,935,87,815,649,548,666,240,456,420,89,490
